FIPS Code,State/Area,Year,Month,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area,Date
44,Rhode Island,2020,1,893866.0,576322.0,64.5,555930.0,62.2,20392.0,3.5,2020-01-01
45,South Carolina,2020,1,4021846.0,2333553.0,58.0,2268881.0,56.4,64672.0,2.8,2020-01-01
46,South Dakota,2020,1,671095.0,465790.0,69.4,453941.0,67.6,11849.0,2.5,2020-01-01
47,Tennessee,2020,1,5417839.0,3340825.0,61.7,3225772.0,59.5,115053.0,3.4,2020-01-01
48,Texas,2020,1,21968223.0,14072438.0,64.1,13580042.0,61.8,492396.0,3.5,2020-01-01
49,Utah,2020,1,2392711.0,1638196.0,68.5,1597963.0,66.8,40233.0,2.5,2020-01-01
50,Vermont,2020,1,533405.0,352082.0,66.0,344804.0,64.6,7278.0,2.1,2020-01-01
51,Virginia,2020,1,6731410.0,4423464.0,65.7,4301214.0,63.9,122250.0,2.8,2020-01-01
53,Washington,2020,1,6073958.0,3989932.0,65.7,3844433.0,63.3,145499.0,3.6,2020-01-01
54,West Virginia,2020,1,1444470.0,795017.0,55.0,753349.0,52.2,41668.0,5.2,2020-01-01
55,Wisconsin,2020,1,4682530.0,3106453.0,66.3,3009062.0,64.3,97391.0,3.1,2020-01-01
56,Wyoming,2020,1,448510.0,295684.0,65.9,282599.0,63.0,13085.0,4.4,2020-01-01
1,Alabama,2020,2,3938616.0,2254260.0,57.2,2180186.0,55.4,74074.0,3.3,2020-02-01
2,Alaska,2020,2,543840.0,350477.0,64.4,331648.0,61.0,18829.0,5.4,2020-02-01
4,Arizona,2020,2,5613944.0,3480462.0,62.0,3311825.0,59.0,168637.0,4.8,2020-02-01
5,Arkansas,2020,2,2332136.0,1350347.0,57.9,1302219.0,55.8,48128.0,3.6,2020-02-01
6,California,2020,2,31144926.0,19628098.0,63.0,18768004.0,60.3,860094.0,4.4,2020-02-01
37,Los Angeles County,2020,2,8069483.0,5279207.0,65.4,5009752.0,62.1,269455.0,5.1,2020-02-01
8,Colorado,2020,2,4559538.0,3130761.0,68.7,3030991.0,66.5,99770.0,3.2,2020-02-01
9,Connecticut,2020,2,2916848.0,1933315.0,66.3,1858917.0,63.7,74398.0,3.8,2020-02-01
10,Delaware,2020,2,789163.0,481636.0,61.0,464396.0,58.8,17240.0,3.6,2020-02-01
11,District of Columbia,2020,2,564671.0,403489.0,71.5,380528.0,67.4,22961.0,5.7,2020-02-01
12,Florida,2020,2,17383665.0,10310613.0,59.3,10001461.0,57.5,309152.0,3.0,2020-02-01
13,Georgia,2020,2,8247827.0,5187971.0,62.9,4998731.0,60.6,189240.0,3.6,2020-02-01
15,Hawaii,2020,2,1127717.0,691778.0,61.3,676811.0,60.0,14967.0,2.2,2020-02-01
16,Idaho,2020,2,1404484.0,901500.0,64.2,875839.0,62.4,25661.0,2.8,2020-02-01
17,Illinois,2020,2,10119945.0,6492991.0,64.2,6244925.0,61.7,248066.0,3.8,2020-02-01
18,Indiana,2020,2,5271010.0,3382274.0,64.2,3265422.0,62.0,116852.0,3.5,2020-02-01
